model_id,benchmark_id,contrast,side,protocol,common_complete_tasks,repair,repair_rate,regression,regression_rate,functional_preservation,unrepaired_failure
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcr:sc_dcr,multi_call,dcr,1136,8,0.014109347442680775,14,0.02460456942003515,555,559
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcr:sc_dcr,single_call,sc_dcr,1136,7,0.012345679012345678,6,0.01054481546572935,563,560
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcpr:sc_dcpr,multi_call,dcpr,1135,6,0.01060070671378092,15,0.026362038664323375,554,560
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcpr:sc_dcpr,single_call,sc_dcpr,1135,9,0.015901060070671377,4,0.007029876977152899,565,557
gemma-4-31b-it-qat-w4a16,humaneval_plus,cr:sc_cr,multi_call,cr,161,0,0.0,5,0.03205128205128205,151,5
gemma-4-31b-it-qat-w4a16,humaneval_plus,cr:sc_cr,single_call,sc_cr,161,0,0.0,1,0.00641025641025641,155,5
gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr:sc_cpr,multi_call,cpr,161,0,0.0,5,0.03205128205128205,151,5
gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr:sc_cpr,single_call,sc_cpr,161,0,0.0,1,0.00641025641025641,155,5
gemma-4-31b-it-qat-w4a16,humaneval_plus,dr:sc_dr,multi_call,dr,160,0,0.0,0,0.0,155,5
gemma-4-31b-it-qat-w4a16,humaneval_plus,dr:sc_dr,single_call,sc_dr,160,0,0.0,0,0.0,155,5
gemma-4-31b-it-qat-w4a16,humaneval_plus,dcr:sc_dcr,multi_call,dcr,160,0,0.0,2,0.012903225806451613,153,5
gemma-4-31b-it-qat-w4a16,humaneval_plus,dcr:sc_dcr,single_call,sc_dcr,160,0,0.0,0,0.0,155,5
gemma-4-31b-it-qat-w4a16,humaneval_plus,dcpr:sc_dcpr,multi_call,dcpr,160,0,0.0,2,0.012903225806451613,153,5
gemma-4-31b-it-qat-w4a16,humaneval_plus,dcpr:sc_dcpr,single_call,sc_dcpr,160,0,0.0,0,0.0,155,5
gemma-4-31b-it-qat-w4a16,mbpp_plus,cr:sc_cr,multi_call,cr,372,8,0.11267605633802817,5,0.016611295681063124,296,63
gemma-4-31b-it-qat-w4a16,mbpp_plus,cr:sc_cr,single_call,sc_cr,372,5,0.07042253521126761,0,0.0,301,66
gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr:sc_cpr,multi_call,cpr,374,8,0.1111111111111111,6,0.019867549668874173,296,64
