model_id,benchmark_id,protocol,total_rows,cost_determinate,end_to_end_tokens_total,end_to_end_tokens_mean,end_to_end_tokens_median,end_to_end_input_tokens_total,end_to_end_input_tokens_mean,end_to_end_input_tokens_median,end_to_end_output_tokens_total,end_to_end_output_tokens_mean,end_to_end_output_tokens_median,incremental_tokens_total,incremental_input_tokens_total,incremental_output_tokens_total,decision_overhead_tokens_total,avoided_refinement_tokens_total,net_token_saving_total,determinate_final,correct,pass_rate
devstral-small-2-24b-instruct,humaneval_plus,r,163,163,175504,1076.7116564417179,1008,112042,687.3742331288344,661,63462,389.33742331288346,342,107256,73301,33955,,,,161,141,0.8757763975155279
devstral-small-2-24b-instruct,humaneval_plus,sc_cpr,163,163,178073,1092.4723926380368,1050,116769,716.3742331288344,690,61304,376.09815950920245,348,109825,78028,31797,,,,161,141,0.8757763975155279
devstral-small-2-24b-instruct,humaneval_plus,sc_cr,163,163,175662,1077.6809815950921,1028,115302,707.3742331288344,681,60360,370.30674846625766,342,107414,76561,30853,,,,161,141,0.8757763975155279
devstral-small-2-24b-instruct,humaneval_plus,sc_dcpr,163,163,189998,1165.6319018404909,1094,122963,754.3742331288344,728,67035,411.25766871165644,355,121750,84222,37528,,,,161,137,0.8509316770186336
devstral-small-2-24b-instruct,humaneval_plus,sc_dcr,163,163,182526,1119.7914110429447,1076,121659,746.3742331288344,720,60867,373.4171779141104,351,114278,82918,31360,,,,161,141,0.8757763975155279
devstral-small-2-24b-instruct,humaneval_plus,sc_dr,163,163,179993,1104.2515337423313,1062,119377,732.3742331288344,706,60616,371.8773006134969,351,111745,80636,31109,,,,161,139,0.8633540372670807
devstral-small-2-24b-instruct,mbpp_plus,cpr,378,376,704542,1873.781914893617,1645.0,478977,1273.875,1186.0,225565,599.906914893617,478.0,615137,421653,193484,,,,377,253,0.6710875331564987
devstral-small-2-24b-instruct,mbpp_plus,cr,378,376,470198,1250.526595744681,1086.5,321276,854.4574468085107,779.0,148922,396.0691489361702,295.0,380793,263952,116841,,,,377,262,0.6949602122015915
devstral-small-2-24b-instruct,mbpp_plus,dcpr,378,376,221312,588.5957446808511,426.0,170432,453.27659574468083,348.0,50880,135.31914893617022,73.5,131907,113108,18799,82595,565825,483230,376,266,0.7074468085106383
devstral-small-2-24b-instruct,mbpp_plus,dcr,378,376,203136,540.2553191489362,426.0,158570,421.72872340425533,348.0,44566,118.52659574468085,73.5,113731,101246,12485,82595,349657,267062,376,267,0.7101063829787234
